[00:55] よし、行きましょう
[00:58] フルートから始まります。
[01:01] 実はソロなんですけど
[03:30] 何か一瞬ずつズレたんですけど、なんか一小節ズレましたね。
[03:44] 41の6前
[04:18] ちょっと待ってください。僕がまずね、あの多分譜面が1小節ズレてるんですよここの中で
[04:28] ちょっと待ってください。もう一回お願いします
[04:55] 41の１小節前は、123223ズーンにしているんですよ。
[05:03] なのでそれまでは2で振りたいですよ。
[05:20] それでやってみてください
[05:23] もう一度
[06:25] はい今のところのでデクレッシェンドもうちょっとしたいなぁ 4分の2のデクレッシェンド
[06:31] ほーらーらーらーらーらー
[06:44] 46小節目って言ったらいけます?
[06:46] はい、46小節目から
[06:50] せーの
[08:27] パンパンパパーン
[08:37] 振り始めが4拍目です
[08:40] じゃーん
[09:09] 前に進みます
[09:33] ここはゆっくり
[10:39] はいはいはい、長すぎ!長すぎ!
[10:47] 全音4拍伸ばしています。
[10:50] 2拍ですけど
[12:25] 頑張れ
[12:36] せーの
[12:44] ちょっと待って
[12:46] 事故が起きたぞ
[12:48] 167かな 167から行きましょう
[13:47] これ1本にしましょう
[15:27] ここ合わせたいな　タリラーラーター　
[15:41] ここが合います　そこから行きましょう。
[15:43] 4分の2から
[22:47] はい、ありがとうございますっていう感じでやっていきたいと思います。
[22:55] 何か言おうと思ってたんやけど…まあいいか
[23:02] うん!いけるでしょう?
[23:04] この曲は止まったりゆっくりしたりするところをみんなで練習すれば
[23:08] あとはそんなに細かい所合わせる必要がない曲かなと思いますのでよろしくお願いします。
[23:12] あと、いろいろ細かいところね。連譜があったりする所もあるのでさらっといていただければという感じですけど
[23:20] 個人練だけして頂ければ大丈夫かなと思います
[23:23] はいじゃあこの曲終わり

