[00:39] お願いします
[00:42] トランペットはノブタ先輩？
[00:45] ソロ、はい
[00:47] ホルンはキョン先輩かな?
[06:02] 最後の二小節は3です
[06:06] それ以外は2で行きますね
[06:09] もう一個、Iですがその前に
[06:15] この止めたところがIの頭になってます。
[06:20] 1、ララララララランて2小節目に入っていますので
[06:25] もう止めた所がI
[06:28] チャーララーン2小節目という風になっています
[06:31] なので2小節目から入ってくる人はそれ注意してください
[06:34] Iを止めた所はもうIに入っています
[06:37] 2小節目から入ってくる人はそれを注意してください。
[06:41] Iとめたところは、もうIに入っています。
[06:47] という感じかな?
[06:49] この曲は細かいことの練習もまた今後やりますので
[06:52] もう一回頭からやってみましょう。
[06:55] 今の感覚でもう一度やりましょう。
[06:58] ちょっと余裕が出てきたら前を見ていただけると嬉しいです。
[07:01] 合わせて頂ければ。
[07:05] この曲はアンサンブルなので指揮者なしでやってもいいくらいです。
[07:14] それくらい皆さんに合わせてもらわないとしゃーないんですけどね。
[07:18] お願いします!僕がきっかけを出すだけです。
[12:18] いいですね、良い感じに。この曲は全体を通して流れがあるのでなかなか細かいところもやりたいんですけど今日は流れの練習をしたのでこれ覚えておいて下さい
[12:33] じゃあ桜の歌これで終わります

