[00:00] この曲はエアーズと全く違って、 はっきり音をパン!て吹かないといけない曲です。
[00:30] タッタッタラー タリラーラーメン
[00:34] トゥントゥントゥントゥントゥ
[00:38] もう余白を残さない
[00:40] 音をぴっちり埋める
[00:42] でお願いします
[00:44] この曲も多分たくさん人数が増えるので
[00:47] 吹きすぎるとガシャガシャうるさくなりますので
[00:50] まあ心地よい音量で
[00:52] お願いします。はい、じゃあ行きましょう。
[03:56] そうですね その音程感欲しいですね
[03:59] よし!パカバッパカバッパカバッパカバッパパーン
[04:03] お願いします
[04:11] もう一回、もう一回
[04:19] 初速がね遅いんですよ
[04:21] パカバンパカバンパカバンで遅いので
[04:24] 初速早い方が絶対楽です
[04:47] もう一回いっとこうかな
[05:07] ここは、ここの音が怪しい。
[05:11] Hの2小節前
[05:14] ミーミーミーミーミードーンのところですね
[05:18] ここの音程ちょっと取れるように意識しておいてくださいね
[05:22] はいじゃあ全員で
[06:27] ありがとうございます。今、人数比がこれやからな。
[06:31] はい、ありがとうございます。また調整しましょう。
[06:34] この曲はこんな感じでいいです。

