[00:00] これクラリネットソロ決まりました ソロあるんですよ
[01:00] ソロクラっていう譜面がない。
[01:03] 無いんすよね?
[01:08] じゃあ、けっぷしている？
[01:12] 奈高にはあるのかな?
[01:19] つぼうちさん
[01:22] エスプラを借りに奈高に行くはずなよ
[01:25] それと合わせて
[01:27] ちょっとそれコピーしてきてもらって
[01:30] ちょっと一回聴いてみて。
[01:33] ソロクラだけ
[01:42] ズーダイ先生
[01:46] ダイ先生
[02:00] トランペットソロは?まだ決まってない。
[02:08] なんで、みんな降り番?
[02:12] じゃあ拭いてね。
[02:21] 僕が今回頑張って信田先輩をヤンキチ先輩と呼ぶことにしてるんで。
[02:25] ヤンキチセンパイと呼ぶことにしています。
[02:29] あの名札も、信田先輩からやったんですけど僕わざとヤンキチって入れたんで
[02:35] みんなでヤンキチ先輩て呼びました
[02:39] リカちゃん それもあるって言っていましたね
[02:47] いける?いける?
[02:53] できる?よし。
[02:55] じゃ、行きまーす。
[08:52] ありがとうございます。本番ここなんで
[09:02] 好きに吹いてもらった
[09:05] そうですね
[09:07] いつまでも行くかもしれないです。こうやって。
[09:17] 何ですか?
[09:23] １，２，１，２、パッパッパにしましょうかね。
[09:28] 覚えておきます。
[09:30] じゃないと分からなくなりますよね。
[09:32] じゃあこの曲終わりまーす。

